population,predicted_p,observed_freq,n
Norway,0.0018049428920303937,0.005590756615728662,2683
Norway,0.003672303018019247,0.0,1
Norway,0.0043035716811980085,0.0,2
Norway,0.008733349543386726,0.0,1
Norway,0.07079768365394705,0.15555555555555556,135
Norway,0.15406374321198676,1.0,1
Norway,0.48775991296985166,0.0,32
Norway,0.9756827002500457,0.9094650205761317,243
Norway,0.9879207328128375,1.0,1
Norway,0.9896807572605557,0.9629629629629629,54
South Asia,0.0018049428920303937,0.0851063829787234,47
South Asia,0.07079768365394705,0.125,40
South Asia,0.9756827002500457,0.9913793103448276,116
South Asia,0.9896807572605557,1.0,35
UK,0.001138119765803268,0.006329113924050633,474
UK,0.0012473864725123548,0.006263048016701462,479
UK,0.0018249470316881373,0.006622516556291391,151
UK,0.0023699518352039302,0.0,1
UK,0.0026170155604723633,0.0,329
UK,0.0026289387902974906,0.0,1
UK,0.004629694878836006,0.0,239
UK,0.06473174262134627,0.05,20
UK,0.0684403025553539,0.0,5
UK,0.06851849504649257,0.033707865168539325,89
UK,0.06886842829868618,0.0,16
UK,0.08274776459697665,0.0,33
UK,0.42040989943859597,0.0,1
UK,0.5053860349303483,0.0,2
UK,0.743885159077308,0.0,10
UK,0.964508903514101,0.9954128440366973,218
UK,0.9758059402511481,1.0,42
UK,0.9762242058665259,0.9836065573770492,61
UK,0.9772496782433308,0.9827586206896551,58
UK,0.978693617623769,0.9936305732484076,157
UK,0.980306128397364,0.9931972789115646,147
UK,0.9885662531730776,1.0,26
UK,0.9893958903875769,1.0,7
UK,0.9896397769114188,1.0,7
UK,0.9896861423956249,1.0,1
