Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Antibiotic Resistance","CARD","562.99763","Escherichia coli 86900254-7bb8-11e9-a8d3-68b59976a384","fig|562.99763.peg.2569",,,"AAC76055.1","Escherichia coli str. K-12 substr. MG1655","parC","DNA topoisomerase IV subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene,gene involved in self resistance to antibiotic",,,,100,100,100,"0.0"
"RGI: protein variant model","Antibiotic Resistance","CARD","562.22717","Escherichia coli O25:H4 strain ECO0302","fig|562.22717.peg.2371",,,"1450",,,"DNA topoisomerase IV subunit A (EC 5.99.1.3)","Escherichia coli parC conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"BLAT","Antibiotic Resistance","CARD","562.42770","Escherichia coli strain M16","fig|562.42770.peg.4098",,,"AAC76055.1","Escherichia coli str. K-12 substr. MG1655","parC","DNA topoisomerase IV subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene,gene involved in self resistance to antibiotic",,,,100,100,99,"0.0"
"RGI: protein variant model","Antibiotic Resistance","CARD","562.97294","Escherichia coli VREC1428","fig|562.97294.peg.2463",,,"1450",,,"DNA topoisomerase IV subunit A (EC 5.99.1.3)","Escherichia coli parC conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.98406","Escherichia coli 970e1caa-7bb9-11e9-a8d3-68b59976a384","fig|562.98406.peg.1635","AMK76_04160",,"WP_001281881.1",,,"DNA topoisomerase IV subunit A (EC 5.99.1.3)","Escherichia quinolone resistant ParC",,"quinolone","quinolone",,100,100,99,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.57498","Escherichia coli strain PB368","fig|562.57498.peg.2669",,,"1450",,,"DNA topoisomerase IV subunit A (EC 5.99.1.3)","Escherichia coli parC conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"BLAT","Antibiotic Resistance","CARD","562.99592","Escherichia coli 8f81cffe-7bb9-11e9-a8d3-68b59976a384","fig|562.99592.peg.609",,,"AAC76055.1","Escherichia coli str. K-12 substr. MG1655","parC","DNA topoisomerase IV subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene,gene involved in self resistance to antibiotic",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.100849","Escherichia coli baf5927e-7bb9-11e9-a8d3-68b59976a384","fig|562.100849.peg.590",,,"AAC76055.1","Escherichia coli str. K-12 substr. MG1655","parC","DNA topoisomerase IV subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene,gene involved in self resistance to antibiotic",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.45397","Escherichia coli strain BR12-DEC","fig|562.45397.peg.3357","ETE51_16265",,"AAC76055.1","Escherichia coli str. K-12 substr. MG1655","parC","DNA topoisomerase IV subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene,gene involved in self resistance to antibiotic",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.97418","Escherichia coli VREC1547","fig|562.97418.peg.3676","AWH50_28525",,"WP_001281881.1",,,"DNA topoisomerase IV subunit A (EC 5.99.1.3)","Escherichia quinolone resistant ParC",,"quinolone","quinolone",,100,100,99,
"BLAT","Antibiotic Resistance","CARD","562.99247","Escherichia coli a5194978-7bb9-11e9-a8d3-68b59976a384","fig|562.99247.peg.1728",,,"AAC76055.1","Escherichia coli str. K-12 substr. MG1655","parC","DNA topoisomerase IV subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene,gene involved in self resistance to antibiotic",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.42758","Escherichia coli strain 86","fig|562.42758.peg.2288",,,"WP_001281881.1",,,"DNA topoisomerase IV subunit A (EC 5.99.1.3)","Escherichia quinolone resistant ParC",,"quinolone","quinolone",,100,100,99,
"BLAT","Antibiotic Resistance","CARD","562.96556","Escherichia coli VRES0783","fig|562.96556.peg.469",,,"AAC76055.1","Escherichia coli str. K-12 substr. MG1655","parC","DNA topoisomerase IV subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene,gene involved in self resistance to antibiotic",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.97934","Escherichia coli 2cc826d8-7bb9-11e9-a8d3-68b59976a384","fig|562.97934.peg.1401",,,"AAC76055.1","Escherichia coli str. K-12 substr. MG1655","parC","DNA topoisomerase IV subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene,gene involved in self resistance to antibiotic",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.99834","Escherichia coli f6298f0e-7bb8-11e9-a8d3-68b59976a384","fig|562.99834.peg.1149",,,"WP_001281881.1",,,"DNA topoisomerase IV subunit A (EC 5.99.1.3)","Escherichia quinolone resistant ParC",,"quinolone","quinolone",,100,100,99,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.23769","Escherichia coli O25:H4 strain ECO1519","fig|562.23769.peg.2346",,,"1450",,,"DNA topoisomerase IV subunit A (EC 5.99.1.3)","Escherichia coli parC conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"BLAT","Antibiotic Resistance","CARD","562.57270","Escherichia coli strain 24742_1#357","fig|562.57270.peg.1644",,,"AAC76055.1","Escherichia coli str. K-12 substr. MG1655","parC","DNA topoisomerase IV subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene,gene involved in self resistance to antibiotic",,,,100,100,100,"0.0"
