Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Antibiotic Resistance","NDARO","562.99037","Escherichia coli 83d8166e-7bb8-11e9-a8d3-68b59976a384","fig|562.99037.peg.4917",,,"WP_000347934.1","Enterobacterales",,"RND efflux system, inner membrane transporter","MULTISPECIES: multidrug efflux RND transporter permease subunit OqxB","",,,,100,100,100,"0.0"
"AMRFinderPlus: ALLELEP","Antibiotic Resistance","NDARO","562.12961","Escherichia coli strain F1-8-ERB4","fig|562.12961.peg.1374","SAMEA3531867_02312",,"WP_016947602.1",,"acrB_2","RND efflux system, inner membrane transporter","multidrug efflux RND transporter permease subunit OqxB25",,"phenicol/quinolone","phenicol;quinolone",,100,100,100,
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.42857","Escherichia coli strain MUGSI_274","fig|562.42857.peg.4775",,,"WP_012967412.1",,,"RND efflux system, inner membrane transporter","multidrug efflux RND transporter permease subunit OqxB",,"phenicol/quinolone","phenicol;quinolone",,99,99,97,
"BLAT","Antibiotic Resistance","CARD","562.99037","Escherichia coli 83d8166e-7bb8-11e9-a8d3-68b59976a384","fig|562.99037.peg.4917",,,"YP_001693238","Escherichia coli","oqxB","RND efflux system, inner membrane transporter",,"efflux pump conferring antibiotic resistance",,,,100,100,100,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.42857","Escherichia coli strain MUGSI_274","fig|562.42857.peg.4775",,,"YP_001693238","Escherichia coli","oqxB","RND efflux system, inner membrane transporter",,"efflux pump conferring antibiotic resistance",,,,99,99,97,"0.0"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.99037","Escherichia coli 83d8166e-7bb8-11e9-a8d3-68b59976a384","fig|562.99037.peg.4917",,,"2400",,,"RND efflux system, inner membrane transporter","oqxB","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,100,100,100,"0"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.57386","Escherichia coli strain W1_3_ERB1","fig|562.57386.peg.2976",,,"2400",,,"ISSod13, transposase","oqxB","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,,,,
"AMRFinderPlus: EXACTP","Antibiotic Resistance","NDARO","562.23357","Escherichia coli O2:H4 strain ECO1123","fig|562.23357.peg.4931",,,"WP_000347934.1",,,"RND efflux system, inner membrane transporter","multidrug efflux RND transporter permease subunit OqxB",,"phenicol/quinolone","phenicol;quinolone",,100,100,100,
"BLAT","Antibiotic Resistance","NDARO","562.28132","Escherichia coli strain CRE1493","fig|562.28132.peg.5195","BVL38_26425",,"WP_000347934.1","Enterobacterales",,"RND efflux system, inner membrane transporter","MULTISPECIES: multidrug efflux RND transporter permease subunit OqxB","",,,,100,100,100,"0.0"
"BLAT","Antibiotic Resistance","NDARO","562.23357","Escherichia coli O2:H4 strain ECO1123","fig|562.23357.peg.4931",,,"WP_000347934.1","Enterobacterales",,"RND efflux system, inner membrane transporter","MULTISPECIES: multidrug efflux RND transporter permease subunit OqxB","",,,,100,100,100,"0.0"
