Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Antibiotic Resistance","CARD","562.42709","Escherichia coli strain 287","fig|562.42709.peg.2984",,,"YP_001693237.1","Escherichia coli","oqxA","RND efflux system, membrane fusion protein",,"efflux pump conferring antibiotic resistance",,,,100,100,96,"1e-213"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.99037","Escherichia coli 83d8166e-7bb8-11e9-a8d3-68b59976a384","fig|562.99037.peg.4918",,,"2399",,,"RND efflux system, membrane fusion protein","oqxA","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,100,100,100,"0"
"BLAT","Antibiotic Resistance","CARD","562.28132","Escherichia coli strain CRE1493","fig|562.28132.peg.5194","BVL38_26420",,"YP_001693237.1","Escherichia coli","oqxA","RND efflux system, membrane fusion protein",,"efflux pump conferring antibiotic resistance",,,,100,100,100,"1e-220"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.12961","Escherichia coli strain F1-8-ERB4","fig|562.12961.peg.1373","SAMEA3531867_02311",,"2399",,"mdtE_2","RND efflux system, membrane fusion protein","oqxA","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,100,100,100,"0"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.42709","Escherichia coli strain 287","fig|562.42709.peg.2984",,,"2399",,,"RND efflux system, membrane fusion protein","oqxA","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,100,100,96,"0"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.23357","Escherichia coli O2:H4 strain ECO1123","fig|562.23357.peg.4930",,,"2399",,,"RND efflux system, membrane fusion protein","oqxA","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,100,100,100,"0"
"BLAT","Antibiotic Resistance","NDARO","562.42857","Escherichia coli strain MUGSI_274","fig|562.42857.peg.4774",,,"WP_002914189.1","Enterobacterales",,"RND efflux system, membrane fusion protein","MULTISPECIES: multidrug efflux RND transporter periplasmic adaptor subunit OqxA","",,,,100,100,92,"1e-205"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.42857","Escherichia coli strain MUGSI_274","fig|562.42857.peg.4774",,,"2399",,,"RND efflux system, membrane fusion protein","oqxA","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,100,100,92,"0"
"AMRFinderPlus: EXACTP","Antibiotic Resistance","NDARO","562.99037","Escherichia coli 83d8166e-7bb8-11e9-a8d3-68b59976a384","fig|562.99037.peg.4918",,,"WP_002914189.1",,,"RND efflux system, membrane fusion protein","multidrug efflux RND transporter periplasmic adaptor subunit OqxA",,"phenicol/quinolone","phenicol;quinolone",,100,100,100,
"BLAT","Antibiotic Resistance","NDARO","562.12961","Escherichia coli strain F1-8-ERB4","fig|562.12961.peg.1373","SAMEA3531867_02311",,"WP_002914189.1","Enterobacterales","mdtE_2","RND efflux system, membrane fusion protein","MULTISPECIES: multidrug efflux RND transporter periplasmic adaptor subunit OqxA",,,,,100,100,100,"1e-220"
