Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.42693","Escherichia coli strain 253","fig|562.42693.peg.5424",,,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.96940","Escherichia coli VREC1073","fig|562.96940.peg.5447",,,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.28567","Escherichia coli strain AR_0370","fig|562.28567.peg.100","CSC07_5209",,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.97292","Escherichia coli VREC1087","fig|562.97292.peg.5442",,,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"BLAT","Antibiotic Resistance","CARD","562.42685","Escherichia coli strain 237","fig|562.42685.peg.5196",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"BLAT","Antibiotic Resistance","NDARO","562.57286","Escherichia coli strain 24742_1#233","fig|562.57286.peg.4905",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.96932","Escherichia coli VRES1617","fig|562.96932.peg.4819",,,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.58622","Escherichia coli strain PH101-2","fig|562.58622.peg.5146","FIP50_20840",,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.144926","Escherichia coli MGL_116","fig|562.144926.peg.5266",,,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"BLAT","Antibiotic Resistance","CARD","562.57119","Escherichia coli strain 24742_1#302","fig|562.57119.peg.5393",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
