Genome ID,Resistant Phenotype,Genome Status,Genome Quality,MLST,BioProject Accession,Isolation Country,Geographic Location,Collection Year,gyrA_BUGGY,gyrA_STRICT,gyrA_fq_mut,parC_fq_mut,qnrA,qnrB,qnrS,oqxA,oqxB,aac6_Ib_cr
562.99237,Resistant,WGS,Good,MLST.ecoli_achtman_4.69,,Norway,,2011.0,1,1,1,1,0,0,0,0,0,0
562.98343,Susceptible,WGS,Good,MLST.ecoli_achtman_4.95,,Norway,,2007.0,1,0,0,0,0,0,0,0,0,0
562.58634,Resistant,WGS,Good,MLST.ecoli_achtman_4.101,,Pakistan,,,1,1,1,1,0,0,0,0,0,1
562.97335,Resistant,WGS,Good,MLST.ecoli_achtman_4.69,,United Kingdom,,,1,1,1,1,0,0,0,0,0,0
562.100706,Susceptible,WGS,Good,MLST.ecoli_achtman_4.350,,Norway,,2017.0,1,0,0,0,0,0,0,0,0,0
562.98005,Susceptible,WGS,Good,MLST.ecoli_achtman_4.73,,Norway,,2004.0,1,0,0,0,0,0,0,0,0,0
562.42810,Resistant,WGS,Good,MLST.ecoli_achtman_4.131,PRJNA278886,USA,USA:Boston,2014.0,1,1,1,1,0,0,0,0,0,1
562.42864,Resistant,WGS,Good,MLST.ecoli_achtman_4.38,PRJNA288601,USA,United States,2014.0,1,1,1,1,0,0,0,0,0,0
562.100715,Resistant,WGS,Good,MLST.ecoli_achtman_4.1193,,Norway,,2017.0,1,1,1,1,0,0,0,0,0,0
562.22448,Susceptible,WGS,Good,MLST.ecoli_achtman_4.12,PRJEB4681,United Kingdom,,2007.0,0,0,0,0,0,0,0,0,0,0
562.100944,Susceptible,WGS,Good,MLST.ecoli_achtman_4.2425,,Norway,,2017.0,1,0,0,0,0,0,0,0,0,0
562.100761,Resistant,WGS,Good,MLST.ecoli_achtman_4.131,,Norway,,2017.0,1,1,1,1,0,0,0,0,0,0
562.100929,Susceptible,WGS,Good,MLST.ecoli_achtman_4.69,,Norway,,2017.0,1,0,0,0,0,0,0,0,0,0
562.100284,Susceptible,WGS,Good,MLST.ecoli_achtman_4.95,,Norway,,2015.0,1,0,0,0,0,0,0,0,0,0
562.99063,Susceptible,WGS,Good,MLST.ecoli_achtman_4.69,,Norway,,2011.0,1,1,1,0,0,0,0,0,0,0
562.97510,Resistant,WGS,Good,MLST.ecoli_achtman_4.1193,,United Kingdom,,,1,1,1,1,0,0,0,0,0,0
562.100840,Susceptible,WGS,Good,MLST.ecoli_achtman_4.69,,Norway,,2017.0,1,0,0,0,0,0,0,0,0,0
562.100763,Susceptible,WGS,Good,MLST.ecoli_achtman_4.10281,,Norway,,2017.0,1,0,0,0,0,0,0,0,0,0
562.100268,Susceptible,WGS,Good,MLST.ecoli_achtman_4.372,,Norway,,2015.0,1,0,0,0,0,0,0,0,0,0
562.97429,Resistant,WGS,Good,MLST.ecoli_achtman_4.69,,United Kingdom,,,1,1,1,1,0,0,0,0,0,0
562.99643,Susceptible,WGS,Good,MLST.ecoli_achtman_4.73,,Norway,,2013.0,1,0,0,0,0,0,0,0,0,0
562.100324,Susceptible,WGS,Good,MLST.ecoli_achtman_4.685,,Norway,,2016.0,1,0,0,0,0,0,0,0,0,0
562.100660,Resistant,WGS,Good,MLST.ecoli_achtman_4.95,,Norway,,2017.0,1,1,1,0,0,0,0,0,0,0
562.65813,Resistant,WGS,Good,MLST.ecoli_achtman_4.410,,Germany,Bavaria,,1,1,1,1,0,0,0,0,0,0
562.96897,Resistant,WGS,Good,MLST.ecoli_achtman_4.131,,United Kingdom,,,1,1,1,1,0,0,0,0,0,1
562.100034,Susceptible,WGS,Good,MLST.ecoli_achtman_4.69,,Norway,,2015.0,1,0,0,0,0,0,0,0,0,0
562.96466,Susceptible,WGS,Good,MLST.ecoli_achtman_4.127,,United Kingdom,,,1,0,0,0,0,0,0,0,0,0
562.97275,Resistant,WGS,Good,MLST.ecoli_achtman_4.443,,United Kingdom,,,1,1,1,1,0,0,0,0,0,0
562.65811,Resistant,WGS,Good,MLST.ecoli_achtman_4.410,,Germany,Berlin,,1,1,1,1,0,0,0,0,0,1
562.97245,Resistant,WGS,Good,MLST.ecoli_achtman_4.1723,,United Kingdom,,,1,1,1,1,0,0,0,0,0,0
562.99275,Susceptible,WGS,Good,MLST.ecoli_achtman_4.550,,Norway,,2012.0,1,0,0,0,0,0,0,0,0,0
562.100483,Susceptible,WGS,Good,MLST.ecoli_achtman_4.131,,Norway,,2016.0,1,0,0,0,0,0,0,0,0,0
562.57304,Susceptible,WGS,Good,MLST.ecoli_achtman_4.136,,,,2017.0,1,0,0,0,0,0,0,0,0,0
562.57215,Susceptible,WGS,Good,MLST.ecoli_achtman_4.12,,,,2017.0,1,0,0,0,0,0,0,0,0,0
562.145079,Susceptible,WGS,Good,MLST.ecoli_achtman_4.300,PRJEB54735,Portugal,,2020.0,1,0,0,0,0,0,0,0,0,0
562.144992,Susceptible,WGS,Good,MLST.ecoli_achtman_4.10,PRJEB54735,Portugal,,2019.0,1,0,0,0,0,0,0,0,0,0
562.99177,Susceptible,WGS,Good,MLST.ecoli_achtman_4.23,,Norway,,2011.0,1,0,0,0,0,0,0,0,0,0
